target,shape,metric,in_lin,h1_lin,h2_lin,h3_lin,out_lin,in_mlp,h1_mlp,h2_mlp,h3_mlp,out_mlp,Δ_in,Δ_h1,Δ_h2,Δ_h3,Δ_out
policy_entropy,1,R²,0.8718398809432983,0.9032678604125975,0.9066418409347534,0.9506925344467164,0.999999463558197,0.95111483335495,0.8850401639938354,0.9380020499229432,0.929179072380066,0.9983876943588256,0.07927495241165161,-0.018227696418762096,0.03136020898818981,-0.02151346206665039,-0.001611769199371449
policy_log_std,2,R²,0.8567644953727722,0.8912430591881275,0.8993563503026962,0.9427960459142924,0.9999927739279428,0.9229245726019144,0.8913642354309559,0.9531886205077172,0.9152024947106838,0.9984011378546712,0.06616007722914219,0.00012117624282836914,0.053832270205021016,-0.027593551203608624,-0.0015916360732716184
policy_mu,2,R²,0.9331807717680932,0.9672424364835024,0.983696015086025,0.993557509733364,0.9999984675577024,0.9581083469092846,0.96662893332541,0.9791621966287494,0.9791459576226772,0.9994459943263792,0.02492757514119137,-0.0006135031580923878,-0.004533818457275629,-0.014411552110686787,-0.0005524732313232361
policy_speed_mag,1,R²,0.6667546033859253,0.7490984201431274,0.8002954125404358,0.8444452881813049,0.9571754932403564,0.8784136176109314,0.8546804189682007,0.9406192302703856,0.8693348169326782,0.9985401630401612,0.2116590142250061,0.10558199882507324,0.14032381772994984,0.02488952875137329,0.0413646697998048
policy_stop_go,1,Acc,0.9428746928746928,0.8703931203931204,0.9471744471744472,0.92014742014742,0.9705159705159704,0.987959442332066,0.9898605830164764,0.9930291508238276,0.9930291508238276,0.9923954372623576,0.045084749457373174,0.11946746262335595,0.04585470364938038,0.07288173067640757,0.02187946674638719
policy_turn_sign,1,Acc,0.8894348894348895,0.9545454545454546,0.9797297297297296,0.9803439803439804,0.9926289926289926,0.9334600760456274,0.9664131812420784,0.9537389100126744,0.976552598225602,0.9993662864385298,0.044025186610737954,0.011867726696623837,-0.02599081971705519,-0.0037913821183783725,0.006737293809537137
pose_k10,2,R²,-0.6296066641807556,-0.52259361743927,-0.3884223699569702,-0.3369280695915222,,-1.4027268886566162,-0.9641544818878174,-1.0130015015602112,-1.177042841911316,,-0.7731202244758606,-0.44156086444854736,-0.624579131603241,-0.8401147723197937,
pose_k5,2,R²,-0.4094327092170715,-0.3149417042732239,-0.2381226420402526,-0.280032217502594,,-1.2553867101669312,-2.082765281200409,-1.359041154384613,-1.003657341003418,,-0.8459540009498596,-1.767823576927185,-1.1209185123443604,-0.723625123500824,
progress_sign_k3,1,Acc,0.5884520884520884,0.6044226044226044,0.5595823095823096,0.6382063882063882,0.547911547911548,0.7820025348542459,0.7034220532319392,0.6926489226869454,0.7192648922686945,0.679340937896071,0.19355044640215746,0.09899944880933476,0.13306661310463586,0.0810585040623063,0.13142938998452303
vz,1,R²,0.971534788608551,0.9129515290260316,0.884048342704773,0.8628127574920654,0.6999291777610779,0.9783198237419128,0.9271107316017152,0.9279680252075196,0.93707537651062,0.8216431140899658,0.006785035133361816,0.014159202575683594,0.04391968250274669,0.07426261901855458,0.12171393632888794
wall_lidar,16,R²,0.5712260501459241,0.2293327506631612,0.0789040252566337,0.0499185621738433,-0.0074677132070064,0.2819143813103437,-0.2635695524513721,-0.6378218531608582,-0.5123090669512749,-0.342320866882801,-0.2893116688355804,-0.4929023031145333,-0.7167258784174919,-0.5622276291251181,-0.3348531536757946
wall_sector_argmin,1,Acc,0.7248157248157249,0.5866093366093366,0.5018427518427518,0.4834152334152334,0.1554054054054054,0.8143219264892269,0.8149556400506971,0.7091254752851711,0.7065906210392903,0.7515842839036755,0.08950620167350198,0.22834630344136053,0.20728272344241927,0.22317538762405686,0.5961788784982701
wz,1,R²,0.7345571517944336,0.4067330956459045,0.2188104391098022,0.1251965761184692,-0.0388959646224975,0.3862777948379516,-0.6905947923660278,-0.293676495552063,-0.5480880737304688,-0.0580604076385498,-0.348279356956482,-1.0973278880119324,-0.5124869346618652,-0.673284649848938,-0.019164443016052295
wz_sign,1,Acc,0.8286240786240786,0.7493857493857494,0.6922604422604423,0.6842751842751843,0.5110565110565111,0.7458808618504436,0.7927756653992395,0.6825095057034221,0.6685678073510773,0.6939163498098859,-0.08274321677363505,0.04338991601349007,-0.009750936557020196,-0.015707376924106953,0.18285983875337486
zone_lidar,16,R²,0.5950628286227584,0.3439632561057806,0.2302059438079595,0.1351608373224735,-0.0578630417585372,0.590491708368063,0.3338836617767811,0.2562355976551771,0.2238667663186788,-0.0473587960004806,-0.0045711202546954155,-0.01007959432899952,0.026029653847217615,0.0887059289962053,0.010504245758056599
