world_seed,color,n_rows,n_links,steps_median,steps_min,steps_max
3492,yellow,102,1,120.5,70,171
3686,blue,101,1,93.0,43,143
1358,yellow,100,1,313.5,264,363
6984,green,100,1,202.5,153,252
10864,magenta,99,1,250.0,201,299
3007,green,99,1,96.0,47,145
9506,blue,98,1,49.5,1,98
582,magenta,98,1,249.5,201,298
8439,green,97,1,307.0,259,355
11155,magenta,94,1,131.5,85,178
1261,yellow,94,1,187.5,141,234
8633,yellow,94,2,47.5,1,170
10864,blue,93,1,385.0,339,431
7663,magenta,91,1,246.0,201,291
776,magenta,90,1,113.5,69,158
1455,yellow,90,1,154.5,110,199
9409,green,90,1,213.5,169,258
485,blue,89,1,45.0,1,89
7081,green,89,1,93.0,49,137
776,yellow,88,1,322.5,279,366
291,magenta,88,1,222.5,179,266
8827,green,88,1,151.5,108,195
7275,green,88,2,44.5,1,89
10476,magenta,88,1,44.5,1,88
2813,magenta,88,1,214.5,171,258
6693,blue,88,1,172.5,129,216
3104,green,88,1,134.5,91,178
3492,magenta,87,1,338.0,295,381
10573,magenta,86,2,105.5,63,268
6208,magenta,86,1,266.5,224,309
4559,green,85,1,43.0,1,85
7954,yellow,85,1,43.0,1,85
9506,magenta,85,1,320.0,278,362
5238,green,85,1,90.0,48,132
6596,magenta,85,1,90.0,48,132
6499,yellow,84,1,314.5,273,356
7178,yellow,84,1,353.5,312,395
1261,blue,83,1,42.0,1,83
11058,magenta,83,1,86.0,45,127
3880,magenta,83,1,42.0,1,83
9991,magenta,83,1,42.0,1,83
9118,yellow,83,1,42.0,1,83
7372,blue,83,1,160.0,119,201
6499,green,82,1,231.5,191,272
291,blue,82,1,137.5,97,178
8148,green,82,1,292.5,252,333
8342,blue,81,1,349.0,309,389
5820,green,81,1,331.0,291,371
1164,magenta,81,1,306.0,266,346
3007,blue,81,1,316.0,276,356
10088,blue,80,1,193.5,154,233
11349,blue,80,1,240.5,201,280
3783,magenta,80,1,139.5,100,179
10767,yellow,79,1,40.0,1,79
2813,yellow,79,1,40.0,1,79
3395,magenta,79,1,219.0,180,258
4171,yellow,79,2,40.0,1,215
2522,yellow,77,1,144.0,106,182
582,green,77,1,537.0,499,575
8633,magenta,77,2,132.0,94,171
3395,blue,76,1,141.5,104,179
8924,magenta,76,1,144.5,107,182
9603,magenta,76,1,91.5,54,129
7566,green,76,1,437.5,400,475
7469,green,76,1,99.5,62,137
388,blue,75,1,101.0,64,138
0,blue,74,1,153.5,117,190
8245,yellow,74,2,37.5,1,227
8730,magenta,73,1,129.0,93,165
1843,green,73,1,37.0,1,73
9506,yellow,72,1,241.5,206,277
7857,yellow,72,1,223.5,188,259
9312,green,72,1,276.5,241,312
4462,green,71,1,236.0,201,271
3104,yellow,71,1,286.0,251,321
5141,green,70,1,342.5,308,377
5044,green,70,1,76.5,42,111
3977,blue,68,1,34.5,1,68
970,green,68,2,180.5,147,215
4656,green,68,1,164.5,131,198
1843,blue,67,1,169.0,136,202
9021,magenta,67,1,232.0,199,265
6693,magenta,66,1,95.5,63,128
1164,yellow,65,1,233.0,201,265
6111,magenta,65,1,105.0,73,137
2328,magenta,64,1,325.5,294,357
6208,blue,64,1,191.5,160,223
2910,yellow,63,1,32.0,1,63
10573,yellow,62,1,31.5,1,62
10961,magenta,62,1,31.5,1,62
1843,magenta,62,1,104.5,74,135
5432,yellow,62,1,222.5,192,253
9797,magenta,61,1,108.0,78,138
9118,magenta,60,1,231.5,202,261
8924,yellow,60,1,212.5,183,242
4559,yellow,59,1,235.0,206,264
2716,blue,59,1,94.0,65,123
7081,yellow,59,1,167.0,138,196
1940,green,58,1,215.5,187,244
10670,yellow,58,1,148.5,120,177
9215,yellow,58,1,29.5,1,58
1261,magenta,58,2,112.5,84,235
8439,blue,58,1,29.5,1,58
2910,magenta,57,1,137.0,109,165
9215,magenta,56,1,286.5,259,314
2328,green,56,1,28.5,1,56
5238,magenta,56,1,160.5,133,188
4947,green,55,1,291.0,264,318
10767,blue,55,1,215.0,188,242
9603,yellow,54,2,27.5,1,131
1455,blue,53,1,405.0,379,431
2328,yellow,52,1,267.5,242,293
4268,blue,52,1,134.5,109,160
1552,yellow,51,1,212.0,187,237
1649,magenta,51,1,26.0,1,51
11349,yellow,50,1,505.5,481,530
5723,magenta,50,1,132.5,108,157
2522,blue,50,1,407.5,383,432
10379,green,49,1,129.0,105,153
8827,magenta,47,1,418.0,395,441
873,yellow,47,1,247.0,224,270
9991,yellow,47,1,107.0,84,130
6402,magenta,47,1,24.0,1,47
5626,magenta,46,1,23.5,1,46
3007,magenta,46,1,23.5,1,46
9894,magenta,45,1,372.0,350,394
2910,blue,45,1,86.0,64,108
5044,magenta,41,1,21.0,1,41
6014,magenta,39,1,20.0,1,39
10864,yellow,39,1,319.0,300,338
