step,r2_train,r2_test,mse_train,mse_test,n_samples
"(24, 9)",0.9989483881400778,,0.001440819095178178,0.00012275566413146822,3
"(25, 6)",0.9996212324960573,,0.0003542407656618733,0.00035423835200898413,2
"(25, 9)",0.9991664211827094,,0.0011265122761864666,5.625473992148602e-05,3
"(26, 6)",0.9996202833585593,,0.00036315428350478554,0.0003631544037411889,2
"(26, 9)",0.9994181117526094,,0.0006601012115057555,2.9621486066960068e-05,3
"(27, 6)",0.9996246201986456,,0.0003669978507071713,0.00036700076496266215,2
"(27, 9)",0.999360481220382,,0.0008541700101768107,3.09634016007953e-05,3
"(28, 6)",0.9996322012504468,,0.0003674787670004538,0.0003674819903001309,2
"(28, 9)",0.9993441632878404,,0.0007709192073616733,3.375145948910003e-05,3
"(29, 6)",0.9996252062947963,,0.0003826397141374259,0.0003826380799083767,2
"(29, 9)",0.9994673263330272,,0.0003845100273980872,7.195070876914231e-05,3
"(30, 6)",0.99950901351217,,0.0005120886785175678,0.0005120875798853502,2
"(30, 9)",0.9992520299982607,,0.0005777866240284081,0.00018666092561940304,3
"(31, 6)",0.9995318610464887,,0.0004985877314975264,0.0004985891756423037,2
"(31, 9)",0.9993119125972101,,0.0005329378693274429,9.447278202520256e-05,3
"(32, 6)",0.9996379511431278,,0.0003936466112428664,0.00039365102376540833,2
"(32, 9)",0.999073476369041,,0.000457343905625868,0.00025608013256397466,3
"(33, 6)",0.9996457971182726,,0.0003930211105977148,0.0003930229481213331,2
"(33, 9)",0.9989521522155673,,0.0004277123242262118,0.00025405704816707837,3
"(34, 6)",0.9996529356176888,,0.0003928589898889289,0.0003928638172837972,2
"(34, 9)",0.998749384712349,,0.00042950840167541813,0.0004553979747386697,3
"(35, 6)",0.9996606209501994,,0.0003917442673399511,0.0003917449331192012,2
"(35, 9)",0.9986355844713612,,0.000410280829473343,0.0006338387933439077,3
"(36, 6)",0.9996699831222486,,0.0003883572267457098,0.0003883528919891083,2
"(36, 9)",0.9986787278628575,,0.0005458227499795737,0.0006250501549525088,3
"(37, 6)",0.9996164376438645,,0.00045996553260885806,0.00045996722428786056,2
"(37, 9)",0.9984622394391347,,0.0004477827616196902,0.0007217733679446141,3
"(38, 6)",0.9997086059896148,,0.00035588766756068836,0.00035588728937463167,2
"(38, 9)",0.9981857297667311,,0.0005202486165233439,0.0007826148404164178,3
"(39, 6)",0.9997186676170926,,0.00034973355185038816,0.00034973097918948506,2
"(39, 9)",0.998143704193237,,0.0005481922953648377,0.0008839359025995265,3
"(40, 6)",0.9997325623929953,,0.0003382306950402799,0.0003382329411512285,2
"(40, 9)",0.9982058612210789,,0.0005423966414930788,0.0008956044958532361,3
"(41, 6)",0.9997422446102469,,0.00033136488795855077,0.00033137181340951337,2
"(41, 9)",0.9982419184047251,,0.0005435889038088906,0.0009407682343023473,3
"(42, 6)",0.9997519371880297,,0.000323945203711112,0.0003239454812910804,2
"(42, 9)",0.9980668757054059,,0.0005765425037807567,0.0010293528853687086,3
"(43, 6)",0.9997554414733139,,0.0003242574627991045,0.0003242581089006808,2
"(43, 9)",0.997657386589982,,0.0006417865787307072,0.0012011366796573024,3
"(44, 6)",0.9997136367654447,,0.00038551417791061603,0.0003855158062924794,2
"(44, 9)",0.9977015133214111,,0.0005170352161235448,0.0009400908366247956,3
"(45, 6)",0.9997235168354092,,0.00037770335218196486,0.00037769939825735223,2
"(45, 9)",0.9977695412761365,,0.0005676114369638321,0.0010578062390875932,3
"(46, 6)",0.9997748226057321,,0.00031194543610331025,0.0003119495872505129,2
"(46, 9)",0.9980478695558987,,0.000493076586454352,0.0008827673340219643,3
"(47, 6)",0.9997845369990421,,0.00030242884520763314,0.00030242459697549413,2
"(47, 9)",0.9982353887796434,,0.0004841018788833379,0.0008690896125845153,3
"(48, 6)",0.9997929808320944,,0.0002941592747034088,0.0002941596527962667,2
"(48, 9)",0.9988471595727836,,0.00045300368723154934,0.0007222616639728584,3
"(49, 6)",0.9998038785537571,,0.0002820119514453512,0.00028201397570433776,2
"(49, 9)",0.9981860502774358,,0.0005807941204352476,0.0010200265669496058,3
"(50, 6)",0.999810103507912,,0.00027597027550959696,0.00027596816767654146,2
"(50, 9)",0.9990631969050848,,0.0004654465975259055,0.0007536320455880259,3
"(51, 6)",0.9997693677098645,,0.0003383908416002079,0.0003383938082187845,2
"(51, 9)",0.9986590642940736,,0.0005422491882986797,0.0009588974208274917,3
"(52, 6)",0.999777414853925,,0.0003296161567313388,0.0003296191918620822,2
"(52, 9)",0.9993109232458124,,0.00039074217037551043,0.0005893457823949158,3
"(53, 6)",0.9998183707017094,,0.0002710907895235871,0.00027108880536372244,2
"(53, 9)",0.9989766548878771,,0.0004694338682879895,0.0007939515513926632,3
"(54, 6)",0.9998167077558944,,0.00027544589281263467,0.00027544869182154674,2
"(54, 9)",0.9993354926353331,,0.00037510371789250814,0.0005767498285180427,3
"(55, 6)",0.9998176927992571,,0.0002757946238295127,0.00027579987301850825,2
"(55, 9)",0.9992834496217642,,0.00042378941306152134,0.0006960217484237431,3
"(56, 6)",0.9998208632905601,,0.0002724775441847544,0.00027247370809142736,2
"(56, 9)",0.9992242883961111,,0.00043375689222260026,0.0007309162362813049,3
"(57, 6)",0.9998229251378391,,0.0002705843040822408,0.00027058517409598627,2
"(57, 9)",0.9991656089883836,,0.0004862520905742384,0.0008522521834125444,3
"(58, 6)",0.9997877353071856,,0.0003257868328006265,0.00032578584603792183,2
"(58, 9)",0.9991776995077227,,0.0004931032776079829,0.0008693333859083161,3
"(59, 6)",0.9997874129292277,,0.0003273870776171338,0.0003273850702874601,2
"(59, 9)",0.9993103148300821,,0.0003359976045763132,0.0005500577113365135,3
"(60, 6)",0.9998185405491009,,0.0002803300562273861,0.000280324278460642,2
"(60, 9)",0.999335091580895,,0.0003354305877287034,0.0005495768473305226,3
"(61, 6)",0.9997753823549702,,0.0003482228644499001,0.0003482188762205412,2
"(61, 9)",0.9993057921812663,,0.00035890173600489913,0.0006058577788327791,3
"(62, 6)",0.9998279903627483,,0.00026732480198808043,0.00026732713378766447,2
"(62, 9)",0.9992965548574522,,0.00037579664677047086,0.0006471080214985002,3
"(63, 6)",0.9997870690618713,,0.0003317166380695203,0.00033171558505500976,2
"(63, 9)",0.9992543212399492,,0.0004130462456015754,0.0007312329618598083,3
"(64, 6)",0.9998429805113994,,0.0002452444974310417,0.0002452437271585596,2
"(64, 9)",0.9990523977379374,,0.0006697182874217251,0.0012529959094717568,3
"(65, 6)",0.9998101572778422,,0.00029703188617758147,0.00029702861143345363,2
"(65, 9)",0.9990714798484229,,0.000702100550569344,0.0013096820967453148,3
"(66, 6)",0.9997918965936983,,0.00032614079950519137,0.00032613930327964047,2
"(66, 9)",0.9987846365608677,,0.0008541199072935574,0.0016281282048951457,3
"(67, 6)",0.9997601042386981,,0.0003766541262609865,0.000376659371249926,2
"(67, 9)",0.9992148030164831,,0.0005254872193432213,0.000949462029844336,3
"(68, 6)",0.9998101987520019,,0.00029830230107869525,0.00029830414869962623,2
"(68, 9)",0.9987106101869733,,0.0009463918299839508,0.001814990676109375,3
"(69, 6)",0.9997420605535704,,0.0004055886328274591,0.00040558567540889263,2
"(69, 9)",0.999095031288967,,0.0006160527929906549,0.0011406256156433197,3
"(70, 6)",0.9998037392099923,,0.0003085905223131642,0.0003085997682813204,2
"(70, 9)",0.9986577071620659,,0.0010437289368267382,0.002014079473400983,3
"(71, 6)",0.9997322652795705,,0.0004204449236702869,0.00042044505942382836,2
"(71, 9)",0.9991565644198966,,0.0007073347471453746,0.0012987749884211947,3
"(72, 6)",0.999723664341349,,0.00043291563405248713,0.00043291819589748087,2
"(72, 9)",0.9993594589159304,,0.0008029065268681903,0.0014540967817112914,3
"(73, 6)",0.9997172679528186,,0.00044142714542641764,0.0004414283568550531,2
"(73, 9)",0.9988656516497395,,0.0008357898815282165,0.0015692653857446804,3
"(74, 6)",0.9997365975634975,,0.0004096572163109665,0.0004096576672364239,2
"(74, 9)",0.9984116504694056,,0.0014068984034250347,0.002736900963940459,3
"(75, 6)",0.9997055898008926,,0.00045619793898194817,0.0004562004091043467,2
"(75, 9)",0.9990378838494072,,0.0009642175534701054,0.0018523685750591477,3
"(76, 6)",0.9996715343181051,,0.0005068393685560251,0.0005068360674698265,2
"(76, 9)",0.9991201809718718,,0.0008625707369749546,0.0016125842998280864,3
"(77, 6)",0.9996358558627707,,0.000558942181649311,0.0005589415213660847,2
"(77, 9)",0.9988983116295993,,0.000933736039307942,0.0017340191612541607,3
"(78, 6)",0.9995992995182089,,0.0006111903352650982,0.0006111906626729151,2
"(78, 9)",0.9990202485300359,,0.0010591998111731432,0.0019545383180036595,3
"(79, 6)",0.9993848607015414,,0.0009313457768910195,0.0009313447938309252,2
"(79, 9)",0.9992768879526103,,0.0009472768573593734,0.001630307816177737,3
"(80, 6)",0.9993077933546759,,0.0010400365787123496,0.0010400431625569267,2
"(80, 9)",0.9991220243223835,,0.0011314160818761895,0.0021143762080443724,3
"(81, 6)",0.9991861735773306,,0.0012138857593366214,0.001213871279957628,2
"(81, 9)",0.9986663314272901,,0.0012896034052963816,0.002413488706968436,3
"(82, 6)",0.9991104249616407,,0.0013166751510665252,0.0013166753703257113,2
"(82, 9)",0.9991039437314239,,0.0011288734814269906,0.0020470670368575505,3
"(83, 6)",0.9990402832774525,,0.0014081014841790223,0.0014081078319091458,2
"(83, 9)",0.9985465725050524,,0.0015074876016531844,0.0028486878891355537,3
"(84, 6)",0.9989990547737089,,0.0014542573190551235,0.0014542426260972902,2
"(84, 9)",0.9989612827338695,,0.001337842568968383,0.0024685676760196062,3
"(85, 6)",0.9989562401043479,,0.001500081717572637,0.0015000784345856873,2
"(85, 9)",0.9989977250792706,,0.0015169875304545707,0.0026305185680129198,3
