target,variant,action,auroc,delta,test_bases
"cell(0,2)_ch8",action_only,0,0.5,0.04166666666666663,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch8",base,1,0.125,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch8",plus,1,0.125,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch8",action_only,1,0.5,0.375,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch8",base,3,0.15000000000000002,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch8",plus,3,0.2,0.04999999999999999,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch8",action_only,3,0.5,0.35,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch9",base,all,0.5347222222222222,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch9",plus,all,0.3763888888888889,-0.15833333333333333,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch9",action_only,all,0.3138888888888889,-0.22083333333333333,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch9",base,0,0.75,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch9",plus,0,0.75,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch9",action_only,0,0.5,-0.25,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch9",base,1,0.48333333333333334,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch9",plus,1,0.44999999999999996,-0.03333333333333338,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch9",action_only,1,0.5,0.016666666666666663,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch9",base,2,0.050000000000000044,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch9",plus,2,0.050000000000000044,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch9",action_only,2,0.5,0.44999999999999996,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",base,all,0.5497076023391813,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",plus,all,0.5740740740740741,0.024366471734892814,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",action_only,all,0.6189083820662769,0.0692007797270956,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",base,0,0.7083333333333334,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",plus,0,0.7083333333333334,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",action_only,0,0.5,-0.20833333333333337,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",base,1,0.8863636363636364,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",plus,1,0.8863636363636364,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",action_only,1,0.5,-0.38636363636363635,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",base,2,0.17105263157894737,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",plus,2,0.17105263157894737,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",action_only,2,0.5,0.32894736842105265,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",base,3,0.5555555555555556,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",plus,3,0.5555555555555556,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch3",action_only,3,0.5,-0.05555555555555558,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch4",base,all,0.2397094430992736,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch4",plus,all,0.20823244552058112,-0.03147699757869249,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch4",action_only,all,0.3329297820823245,0.09322033898305088,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch4",base,0,0.4444444444444445,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch4",plus,0,0.4166666666666667,-0.02777777777777779,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch4",action_only,0,0.5,0.055555555555555525,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch4",base,1,0.25,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,3)_ch4",plus,1,0.25,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
