target,auroc,auprc,ece
"cell(0,6)_ch9",0.7575573026242941,0.07076925353061038,0.08680379431349484
"cell(0,6)_ch10",0.6792176039119805,0.05369873964790418,0.07515825125396057
"cell(0,6)_ch11",0.5530786918753193,0.09433613574989713,0.09565217219847313
"cell(1,0)_ch0",0.8575291622481441,0.23297067591897608,0.04090052060358066
"cell(1,0)_ch1",0.6667020148462354,0.080114091870233,0.09283954139212654
"cell(1,0)_ch2",0.7809060363804889,0.12918116947182517,0.036122471032021805
"cell(1,0)_ch3",0.7101010101010101,0.10630720079009913,0.043245425908062615
"cell(1,0)_ch4",0.9274989274989274,0.7083639196615342,0.06360661565829463
"cell(1,0)_ch5",0.7797010730710271,0.18377640305339638,0.03736824910866533
"cell(1,0)_ch6",0.8606768999671407,0.4031597770877303,0.0843715626531026
"cell(1,0)_ch7",0.8761369193154034,0.31001317373570925,0.03611980073252772
"cell(1,0)_ch8",0.8714230965763924,0.23751320374663212,0.04908455453950285
"cell(1,0)_ch9",0.7368786930830727,0.07234098833507649,0.03996491921282863
"cell(1,0)_ch10",0.8141534391534392,0.12810835707774276,0.055972896513117654
"cell(1,0)_ch11",0.8332548724225591,0.24609138845649983,0.051142637151580045
"cell(1,1)_ch0",0.9989144316730524,0.9902038196705878,0.025051233629711473
"cell(1,1)_ch1",1.0,0.9999999999999999,0.007563688960193497
"cell(1,1)_ch2",0.9999092229484386,0.9973055065647658,0.003016630229861851
"cell(1,1)_ch3",0.9996438746438746,0.9905913978494624,0.0026137864059196866
"cell(1,1)_ch4",0.9999491249491249,0.9983333333333333,0.004275406992949679
"cell(1,1)_ch5",1.0,1.0,0.0035990383945991235
"cell(1,1)_ch6",1.0,1.0,0.005661611030860724
"cell(1,1)_ch7",0.9978973105134474,0.9691422798216277,0.005812820583466666
"cell(1,1)_ch8",1.0,1.0,0.0020913281465609647
"cell(1,1)_ch9",0.9999469777306469,0.9981884057971013,0.004388510102523463
"cell(1,1)_ch10",1.0,1.0,0.001968120022201936
"cell(1,1)_ch11",0.9998722534491569,0.9949874686716791,0.004317151358655801
"cell(1,2)_ch0",0.9999790365183849,0.9997355896351139,0.0033112635775189594
"cell(1,2)_ch1",1.0,1.0,0.0021071677947066864
"cell(1,2)_ch2",1.0,1.0,0.0015856230525927697
"cell(1,2)_ch3",0.9999420692851351,0.9978354978354977,0.002218115937123714
"cell(1,2)_ch4",1.0,1.0,0.004159974574471457
"cell(1,2)_ch5",1.0,1.0,0.0017913999357226683
"cell(1,2)_ch6",1.0,1.0,0.004181872286119643
"cell(1,2)_ch7",0.9999420692851348,0.9978354978354977,0.005174201097299515
"cell(1,2)_ch8",0.9999999999999999,1.0,0.0011073913056064988
"cell(1,2)_ch9",0.9999446351456095,0.9980237154150198,0.008491569017366711
"cell(1,2)_ch10",1.0,1.0,0.0023376645923780448
"cell(1,2)_ch11",1.0,1.0,0.0030635985080596025
"cell(1,3)_ch0",0.9999864233735201,0.9998989898989898,0.005731379704526894
"cell(1,3)_ch1",1.0,1.0,0.0027785415002565634
"cell(1,3)_ch2",1.0,1.0,0.0020218882304792202
"cell(1,3)_ch3",1.0,1.0,0.0016804927607788603
"cell(1,3)_ch4",0.999925102048459,0.9991534822696206,0.015656669751548495
"cell(1,3)_ch5",1.0,1.0,0.0008599836916884751
"cell(1,3)_ch6",0.9974572127139364,0.9729870129870131,0.0026210758006687926
"cell(1,3)_ch7",1.0,1.0,0.005210897086167771
"cell(1,3)_ch8",1.0,1.0,0.002673543669619318
"cell(1,3)_ch9",0.9997306397306397,0.9885964912280703,0.005113874522167184
"cell(1,3)_ch10",1.0,1.0,0.0015753474721868358
"cell(1,3)_ch11",1.0,1.0,0.0027223489915108572
"cell(1,4)_ch0",1.0,1.0,0.004221965382963456
"cell(1,4)_ch1",0.9999614673242909,0.9990530303030303,0.005046159868505927
"cell(1,4)_ch2",1.0,1.0,0.0022397012008109674
"cell(1,4)_ch3",1.0,1.0,0.002480405469429849
"cell(1,4)_ch4",1.0,1.0000000000000002,0.002480846151622354
"cell(1,4)_ch5",1.0,1.0,0.0011886146497381877
"cell(1,4)_ch6",1.0,1.0,0.0028967332820572706
"cell(1,4)_ch7",0.998856222994154,0.971373566027348,0.010253868937141957
"cell(1,4)_ch8",1.0,0.9999999999999999,0.0013131698200747148
"cell(1,4)_ch9",0.999597423510467,0.9778223084105437,0.0041314380872403775
"cell(1,4)_ch10",1.0,1.0,0.0019868059565874376
"cell(1,4)_ch11",1.0,1.0,0.00324909319907785
"cell(1,5)_ch0",0.9995659722222222,0.9955414461035904,0.005624555322589201
"cell(1,5)_ch1",0.9999783811829817,0.9997175141242938,0.003775871857947842
"cell(1,5)_ch2",0.9998939554612937,0.9965217391304347,0.004601883576574459
"cell(1,5)_ch3",0.999194847020934,0.9733333333333333,0.0037462277665109
"cell(1,5)_ch4",1.0,1.0,0.003187476722085282
"cell(1,5)_ch5",1.0,1.0,0.0015239242333340449
"cell(1,5)_ch6",0.9996977025392987,0.9862253289473684,0.0040689713121645635
"cell(1,5)_ch7",0.9973926995587646,0.9367492492492492,0.004909313675944195
"cell(1,5)_ch8",1.0,1.0000000000000002,0.002468001218381693
"cell(1,5)_ch9",0.9983373639661427,0.9320870030704589,0.005232295756157632
"cell(1,5)_ch10",1.0,1.0,0.005067105069009973
"cell(1,5)_ch11",0.9999511002444987,0.9984615384615385,0.004032336191256915
"cell(1,6)_ch0",0.6287157771162635,0.12913594992773206,0.08635989963233029
"cell(1,6)_ch1",0.8800740635237145,0.257458279790017,0.028882202393606556
"cell(1,6)_ch2",0.7766245869694145,0.19112808904255418,0.0423621147295341
"cell(1,6)_ch3",0.9535495352976072,0.6634706454521765,0.05826992224562814
"cell(1,6)_ch4",0.7916157916157915,0.1258532406350589,0.043797869875950135
"cell(1,6)_ch5",0.9012195121951219,0.38034614950057116,0.025039607869202878
"cell(1,6)_ch6",0.8363968552762706,0.10536924374544641,0.05368492111208046
"cell(1,6)_ch7",0.8297985153764581,0.1994927086506032,0.05218250423806142
"cell(1,6)_ch8",0.9758004758004758,0.7843337380968491,0.029144051936473653
"cell(1,6)_ch9",0.7995227995758218,0.1749800074274346,0.03358749471385941
"cell(1,6)_ch10",0.6145498837338057,0.1963818933016308,0.09729116863167857
